SampleNumber,CTime,Duration,PowerData
648,58.55255,90.04,13692.39
649,58.64259,90.04,13256.67
650,58.73284,90.25,15020.48
651,58.82284,90,14236.84
652,58.91336,90.53,14030.47
653,59.00415,90.79,13484.8
654,59.09487,90.72,14639.14
655,59.18563,90.76,13130.05
656,59.27563,90,13539.68
657,59.36569,90.06,13824.2
658,59.45644,90.75,13717.92
659,59.54645,90.01,13607.99
660,59.63647,90.02,13371.2
661,59.72771,91.24,13547.06
662,59.8185,90.79,14300.33
663,59.90923,90.73,13921.98
664,60.00098,91.75,13484.8
665,60.091,90.02,15402.14
666,60.18153,90.53,14209.68
667,60.27203,90.5,13623.02
668,60.36208,90.06,13761.39
669,60.45249,90.41,14638.02
670,60.54249,90,13411.69
671,60.63256,90.06,15201.82
672,60.72256,90,13669.5
673,60.81259,90.03,13853.48
674,60.90314,90.56,14750.74
675,60.99471,91.56,13569.03
676,61.08481,90.1,16523.8
677,61.17519,90.38,13606.06
678,61.26592,90.73,14357.67
679,61.35592,90,13912.73
680,61.44646,90.54,14587.4
681,61.53822,91.75,13306.43
682,61.62898,90.76,14079.96
683,61.7197,90.73,14161.98
684,61.80976,90.06,13574.67
685,61.90031,90.55,13221.94
686,61.99204,91.73,13990.85
687,62.08205,90.01,13782.21
688,62.17249,90.44,13876.4
689,62.26252,90.04,13226.59
690,62.35253,90,13960.93
691,62.44256,90.04,13818.29
692,62.53259,90.03,14596.14
693,62.62347,90.88,14086.34
694,62.71349,90.02,13686.57
695,62.80399,90.49,13617.56
696,62.89474,90.76,13614.37
697,62.98476,90.02,14025.79
698,63.07476,90,15148.92
699,63.16505,90.29,14192.59
700,63.25585,90.79,13548.56
701,63.34654,90.69,13652.66
702,63.4373,90.76,13956.51
703,63.52809,90.79,14293.47
704,63.6194,91.31,14092.6
705,63.71116,91.76,13588.65
706,63.80143,90.27,13324.97
707,63.89174,90.31,13478.45
708,63.98247,90.73,13154.33
709,64.07247,90,13591.57
710,64.16254,90.06,14453.16
711,64.2526,90.06,14061.51
712,64.34261,90.01,14207.49
713,64.43261,90,13749.81
714,64.52263,90.02,14142.98
715,64.61281,90.18,14115.72
716,64.70358,90.76,13345.44
717,64.79373,90.16,14693.12
718,64.88412,90.4,14522.87
719,64.97499,90.86,13365.7
720,65.06507,90.08,14284.17
721,65.15605,90.98,13869.55
722,65.24694,90.9,13234.72
723,65.33696,90.01,13797.35
724,65.42765,90.69,14011.76
725,65.51942,91.77,13146.93
726,65.61127,91.86,14543.53
727,65.70226,90.98,13523.55
728,65.79227,90.02,13368.05
729,65.88251,90.24,13510.9
730,65.97255,90.04,13272.01
731,66.06255,90,14241.18
732,66.15255,90,15298.67
733,66.24261,90.05,13880.72
734,66.33263,90.02,14624.09
735,66.42429,91.66,13864.86
736,66.51604,91.75,13442.99
737,66.60791,91.87,16362.61
738,66.69793,90.01,13280.5
739,66.78854,90.62,14836.05
740,66.8793,90.75,18811.79
741,66.9697,90.4,15228.27
742,67.05982,90.13,13686.64
743,67.1506,90.79,14027.93
744,67.24133,90.72,13257.61
745,67.33212,90.78,13448.86
746,67.42252,90.4,13660.38
747,67.51254,90.03,13356.99
748,67.60258,90.04,15751.46
749,67.69261,90.03,14961.14
750,67.78262,90,14067.35
751,67.87321,90.61,13230.9
752,67.96323,90.01,13991.11
753,68.05351,90.29,13509.83
754,68.14381,90.3,14239.38
755,68.2346,90.79,13379.69
756,68.3246,90,13486.56
757,68.41711,92.51,14567.67
758,68.50784,90.73,13716.3
759,68.59863,90.79,14144.07
760,68.68935,90.72,14115.11
761,68.78008,90.73,14073.4
762,68.87009,90,13552.29
763,68.96063,90.55,14302.67
764,69.05141,90.79,14129.73
765,69.14198,90.57,14622.17
766,69.2325,90.51,13053.09
767,69.32256,90.06,13198.71
768,69.41259,90.03,13546.21
769,69.50259,90,13450.56
770,69.5926,90.01,14161.93
771,69.68262,90.02,15027.57
772,69.77309,90.47,13621.18
773,69.86387,90.78,13993.54
774,69.95464,90.76,14767.73
775,70.04639,91.76,13170.5
776,70.13698,90.58,18100.21
777,70.22788,90.91,14361.5
778,70.31964,91.75,14245.39
779,70.41143,91.79,13332.53
780,70.50217,90.75,13278.93
781,70.59253,90.36,14589.43
782,70.68253,90,13931.15
783,70.77254,90,14332.56
784,70.86262,90.08,13957.14
785,70.95406,91.44,14096.23
786,71.0443,90.24,13481.25
787,71.13432,90.02,14144.89
788,71.22436,90.04,15194.18
789,71.31437,90,13710.64
790,71.40437,90,14968.53
791,71.49666,92.29,14102.96
792,71.58739,90.73,13996.26
793,71.67815,90.76,14326.5
794,71.76908,90.94,14305.73
795,71.85991,90.83,13258.96
796,71.95084,90.93,13664.05
797,72.04085,90,13323.94
798,72.1314,90.56,14342.23
799,72.22216,90.76,14442.53
800,72.31248,90.32,13590.93
801,72.4025,90.01,13268.28
802,72.49257,90.08,13940.82
803,72.58263,90.06,14285.55
804,72.67263,90,13471.1
805,72.76286,90.23,13990.21
806,72.85287,90,13812.53
807,72.94335,90.49,13655.75
808,73.03414,90.79,13510.27
